"","NEWID","W_FSCHWT","W_FSTUWT","SC31Q01","SC31Q02","SC31Q03","SC31Q04","SC31Q05","SC31Q06","SC31Q07"
"1",10010001,8.4871,8.9096,1,1,4,1,2,2,2
"2",10010002,8.4871,8.9096,1,1,4,1,2,2,2
"3",10010003,8.4871,8.4871,1,1,4,1,2,2,2
"4",10010004,8.4871,8.4871,1,1,4,1,2,2,2
"5",10010005,8.4871,8.4871,1,1,4,1,2,2,2
"6",10010006,8.4871,8.4871,1,1,4,1,2,2,2
"7",10010007,8.4871,8.9096,1,1,4,1,2,2,2
"8",10010008,8.4871,9.8606,1,1,4,1,2,2,2
"9",10010009,8.4871,8.4871,1,1,4,1,2,2,2
"10",10020010,1.0039,6.7688,2,3,3,3,3,3,4
"11",10020011,1.0039,6.7688,2,3,3,3,3,3,4
"12",10020012,1.0039,6.7688,2,3,3,3,3,3,4
"13",10020013,1.0039,6.7688,2,3,3,3,3,3,4
"14",10020014,1.0039,6.7688,2,3,3,3,3,3,4
"15",10020015,1.0039,7.4167,2,3,3,3,3,3,4
"16",10020016,1.0039,7.4167,2,3,3,3,3,3,4
"17",10020017,1.0039,6.7688,2,3,3,3,3,3,4
"18",10020018,1.0039,7.4167,2,3,3,3,3,3,4
"19",10020019,1.0039,6.7688,2,3,3,3,3,3,4
"20",10020020,1.0039,6.7688,2,3,3,3,3,3,4
"21",10020021,1.0039,6.7688,2,3,3,3,3,3,4
"22",10020022,1.0039,7.4167,2,3,3,3,3,3,4
"23",10020023,1.0039,6.7688,2,3,3,3,3,3,4
"24",10020024,1.0039,6.7688,2,3,3,3,3,3,4
"25",10020025,1.0039,7.4167,2,3,3,3,3,3,4
"26",10020026,1.0039,6.7688,2,3,3,3,3,3,4
"27",10020027,1.0039,6.7688,2,3,3,3,3,3,4
"28",10020028,1.0039,7.4167,2,3,3,3,3,3,4
"29",10020029,1.0039,6.7688,2,3,3,3,3,3,4
"30",10020030,1.0039,6.7688,2,3,3,3,3,3,4
"31",10020031,1.0039,6.7688,2,3,3,3,3,3,4
"32",10020032,1.0039,7.4167,2,3,3,3,3,3,4
"33",10020033,1.0039,6.7688,2,3,3,3,3,3,4
"34",10020034,1.0039,7.4167,2,3,3,3,3,3,4
"35",10020035,1.0039,7.4167,2,3,3,3,3,3,4
"36",10020036,1.0039,7.4167,2,3,3,3,3,3,4
"37",10020037,1.0039,6.7688,2,3,3,3,3,3,4
"38",10020038,1.0039,6.7688,2,3,3,3,3,3,4
"39",10020039,1.0039,6.7688,2,3,3,3,3,3,4
"40",10020040,1.0039,6.7688,2,3,3,3,3,3,4
"41",10020041,1.0039,7.4167,2,3,3,3,3,3,4
"42",10030042,8.345,9.8416,1,1,2,2,1,1,2
"43",10030043,8.345,8.345,1,1,2,2,1,1,2
"44",10030044,8.345,8.345,1,1,2,2,1,1,2
"45",10030045,8.345,8.345,1,1,2,2,1,1,2
"46",10030046,8.345,8.345,1,1,2,2,1,1,2
"47",10030047,8.345,8.345,1,1,2,2,1,1,2
"48",10030048,8.345,8.345,1,1,2,2,1,1,2
"49",10030049,8.345,8.345,1,1,2,2,1,1,2
"50",10030050,8.345,9.8416,1,1,2,2,1,1,2
"51",10030051,8.345,8.345,1,1,2,2,1,1,2
"52",10030052,8.345,9.8416,1,1,2,2,1,1,2
"53",10030053,8.345,8.345,1,1,2,2,1,1,2
"54",10030054,8.345,9.8416,1,1,2,2,1,1,2
"55",10030055,8.345,8.345,1,1,2,2,1,1,2
