NEWID,WMLE
10010001ÿ,-1.6
10010002ÿ,-1.6
10010003ÿ,-1.6
10010004ÿ,-1.6
10010005ÿ,-1.6
10010006ÿ,-1.6
10010007ÿ,-1.6
10010008ÿ,-1.6
10010009ÿ,-1.6
10020010ÿ,1.23
10020011ÿ,1.23
10020012ÿ,1.23
10020013ÿ,1.23
10020014ÿ,1.23
10020015ÿ,1.23
10020016ÿ,1.23
10020017ÿ,1.23
10020018ÿ,1.23
10020019ÿ,1.23
10020020ÿ,1.23
10020021ÿ,1.23
10020022ÿ,1.23
10020023ÿ,1.23
10020024ÿ,1.23
10020025ÿ,1.23
10020026ÿ,1.23
10020027ÿ,1.23
10020028ÿ,1.23
10020029ÿ,1.23
10020030ÿ,1.23
10020031ÿ,1.23
10020032ÿ,1.23
10020033ÿ,1.23
10020034ÿ,1.23
10020035ÿ,1.23
10020036ÿ,1.23
10020037ÿ,1.23
10020038ÿ,1.23
10020039ÿ,1.23
10020040ÿ,1.23
10020041ÿ,1.23
10030042ÿ,-2.86
10030043ÿ,-2.86
10030044ÿ,-2.86
10030045ÿ,-2.86
10030046ÿ,-2.86
10030047ÿ,-2.86
10030048ÿ,-2.86
10030049ÿ,-2.86
10030050ÿ,-2.86
10030051ÿ,-2.86
10030052ÿ,-2.86
10030053ÿ,-2.86
10030054ÿ,-2.86
10030055ÿ,-2.86
10030056ÿ,-2.86
10030057ÿ,-2.86
10030058ÿ,-2.86
10030059ÿ,-2.86
10030060ÿ,-2.86
10030061ÿ,-2.86
10030062ÿ,-2.86
10030063ÿ,-2.86
10030064ÿ,-2.86
10030065ÿ,-2.86
10040066ÿ,1.6
10040067ÿ,1.6
10040068ÿ,1.6
10040069ÿ,1.6
10040070ÿ,1.6
10040071ÿ,1.6
10040072ÿ,1.6
10040073ÿ,1.6
10040074ÿ,1.6
10040075ÿ,1.6
10040076ÿ,1.6
10040077ÿ,1.6
10040078ÿ,1.6
10040079ÿ,1.6
10050080ÿ,-0.52
10050081ÿ,-0.52
10050082ÿ,-0.52
10050083ÿ,-0.52
10050084ÿ,-0.52
10050085ÿ,-0.52
10050086ÿ,-0.52
10050087ÿ,-0.52
10050088ÿ,-0.52
10050089ÿ,-0.52
10050090ÿ,-0.52
10050091ÿ,-0.52
10050092ÿ,-0.52
10050093ÿ,-0.52
10050094ÿ,-0.52
10050095ÿ,-0.52
10050096ÿ,-0.52
10050097ÿ,-0.52
10050098ÿ,-0.52
10050099ÿ,-0.52
10050100ÿ,-0.52
10050101ÿ,-0.52
10050102ÿ,-0.52
10050103ÿ,-0.52
10050104ÿ,-0.52
10050105ÿ,-0.52
10050106ÿ,-0.52
10050107ÿ,-0.52
10050108ÿ,-0.52
10060109ÿ,1.23
10060110ÿ,1.23
10060111ÿ,1.23
10060112ÿ,1.23
10060113ÿ,1.23
10060114ÿ,1.23
10060115ÿ,1.23
10060116ÿ,1.23
10060117ÿ,1.23
10060118ÿ,1.23
10060119ÿ,1.23
10060120ÿ,1.23
10060121ÿ,1.23
10060122ÿ,1.23
10060123ÿ,1.23
10060124ÿ,1.23
10060125ÿ,1.23
10060126ÿ,1.23
10060127ÿ,1.23
10060128ÿ,1.23
10060129ÿ,1.23
10060130ÿ,1.23
10060131ÿ,1.23
10060132ÿ,1.23
10060133ÿ,1.23
10060134ÿ,1.23
10060135ÿ,1.23
10060136ÿ,1.23
10060137ÿ,1.23
10060138ÿ,1.23
10060139ÿ,1.23
10060140ÿ,1.23
10060141ÿ,1.23
10060142ÿ,1.23
10070143ÿ,-0.87
10070144ÿ,-0.87
10070145ÿ,-0.87
