NEWID,WMLE_SC31
10010001 ,-1.47
10010002 ,-1.47
10010003 ,-1.47
10010004 ,-1.47
10010005 ,-1.47
10010006 ,-1.47
10010007 ,-1.47
10010008 ,-1.47
10010009 ,-1.47
10020010 ,1.19
10020011 ,1.19
10020012 ,1.19
10020013 ,1.19
10020014 ,1.19
10020015 ,1.19
10020016 ,1.19
10020017 ,1.19
10020018 ,1.19
10020019 ,1.19
10020020 ,1.19
10020021 ,1.19
10020022 ,1.19
10020023 ,1.19
10020024 ,1.19
10020025 ,1.19
10020026 ,1.19
10020027 ,1.19
10020028 ,1.19
10020029 ,1.19
10020030 ,1.19
10020031 ,1.19
10020032 ,1.19
10020033 ,1.19
10020034 ,1.19
10020035 ,1.19
10020036 ,1.19
10020037 ,1.19
10020038 ,1.19
10020039 ,1.19
10020040 ,1.19
10020041 ,1.19
10030042 ,-2.77
10030043 ,-2.77
10030044 ,-2.77
10030045 ,-2.77
10030046 ,-2.77
10030047 ,-2.77
10030048 ,-2.77
10030049 ,-2.77
10030050 ,-2.77
10030051 ,-2.77
10030052 ,-2.77
10030053 ,-2.77
10030054 ,-2.77
10030055 ,-2.77
10030056 ,-2.77
10030057 ,-2.77
10030058 ,-2.77
10030059 ,-2.77
10030060 ,-2.77
10030061 ,-2.77
10030062 ,-2.77
10030063 ,-2.77
10030064 ,-2.77
10030065 ,-2.77
10040066 ,1.51
10040067 ,1.51
10040068 ,1.51
10040069 ,1.51
10040070 ,1.51
10040071 ,1.51
10040072 ,1.51
10040073 ,1.51
10040074 ,1.51
10040075 ,1.51
10040076 ,1.51
10040077 ,1.51
10040078 ,1.51
10040079 ,1.51
10050080 ,-0.38
10050081 ,-0.38
10050082 ,-0.38
10050083 ,-0.38
10050084 ,-0.38
10050085 ,-0.38
10050086 ,-0.38
10050087 ,-0.38
10050088 ,-0.38
10050089 ,-0.38
10050090 ,-0.38
10050091 ,-0.38
10050092 ,-0.38
10050093 ,-0.38
10050094 ,-0.38
10050095 ,-0.38
10050096 ,-0.38
10050097 ,-0.38
10050098 ,-0.38
10050099 ,-0.38
10050100 ,-0.38
10050101 ,-0.38
10050102 ,-0.38
10050103 ,-0.38
10050104 ,-0.38
10050105 ,-0.38
10050106 ,-0.38
10050107 ,-0.38
10050108 ,-0.38
10060109 ,1.19
10060110 ,1.19
10060111 ,1.19
10060112 ,1.19
10060113 ,1.19
10060114 ,1.19
10060115 ,1.19
10060116 ,1.19
10060117 ,1.19
10060118 ,1.19
10060119 ,1.19
10060120 ,1.19
10060121 ,1.19
10060122 ,1.19
10060123 ,1.19
10060124 ,1.19
10060125 ,1.19
10060126 ,1.19
10060127 ,1.19
10060128 ,1.19
10060129 ,1.19
10060130 ,1.19
10060131 ,1.19
10060132 ,1.19
10060133 ,1.19
10060134 ,1.19
10060135 ,1.19
10060136 ,1.19
10060137 ,1.19
10060138 ,1.19
10060139 ,1.19
10060140 ,1.19
10060141 ,1.19
10060142 ,1.19
10070143 ,-0.73
10070144 ,-0.73
10070145 ,-0.73
10070146 ,-0.73
10070147 ,-0.73
10070148 ,-0.73
10070149 ,-0.73
10070150 ,-0.73
10070151 ,-0.73
10070152 ,-0.73
10070153 ,-0.73
10070154 ,-0.73
10070155 ,-0.73
10070156 ,-0.73
10070157 ,-0.73
10070158 ,-0.73
10070159 ,-0.73
10070160 ,-0.73
10070161 ,-0.73
10070162 ,-0.73
10070163 ,-0.73
10070164 ,-0.73
10070165 ,-0.73
10070166 ,-0.73
10070167 ,-0.73
10070168 ,-0.73
10070169 ,-0.73
10070170 ,-0.73
10070171 ,-0.73
10070172 ,-0.73
10070173 ,-0.73
10070174 ,-0.73
10070175 ,-0.73
10080176 ,1.51
10080177 ,1.51
10080178 ,1.51
10080179 ,1.51
10080180 ,1.51
10090181 ,-2.31
10090182 ,-2.31
10090183 ,-2.31
10090184 ,-2.31
10090185 ,-2.31
10100186 ,-1.88
10100187 ,-1.88
10100188 ,-1.88
10100189 ,-1.88
10100190 ,-1.88
10100191 ,-1.88
10100192 ,-1.88
10100193 ,-1.88
10100194 ,-1.88
10100195 ,-1.88
10100196 ,-1.88
10100197 ,-1.88
10100198 ,-1.88
