NEWID,WMLE
10010001 ,-1.6
10010002 ,-1.6
10010003 ,-1.6
10010004 ,-1.6
10010005 ,-1.6
10010006 ,-1.6
10010007 ,-1.6
10010008 ,-1.6
10010009 ,-1.6
10020010 ,1.23
10020011 ,1.23
10020012 ,1.23
10020013 ,1.23
10020014 ,1.23
10020015 ,1.23
10020016 ,1.23
10020017 ,1.23
10020018 ,1.23
10020019 ,1.23
10020020 ,1.23
10020021 ,1.23
10020022 ,1.23
10020023 ,1.23
10020024 ,1.23
10020025 ,1.23
10020026 ,1.23
10020027 ,1.23
10020028 ,1.23
10020029 ,1.23
10020030 ,1.23
10020031 ,1.23
10020032 ,1.23
10020033 ,1.23
10020034 ,1.23
10020035 ,1.23
10020036 ,1.23
10020037 ,1.23
10020038 ,1.23
10020039 ,1.23
10020040 ,1.23
10020041 ,1.23
10030042 ,-2.86
10030043 ,-2.86
10030044 ,-2.86
10030045 ,-2.86
10030046 ,-2.86
10030047 ,-2.86
10030048 ,-2.86
10030049 ,-2.86
10030050 ,-2.86
10030051 ,-2.86
10030052 ,-2.86
10030053 ,-2.86
10030054 ,-2.86
10030055 ,-2.86
10030056 ,-2.86
10030057 ,-2.86
10030058 ,-2.86
10030059 ,-2.86
10030060 ,-2.86
10030061 ,-2.86
10030062 ,-2.86
10030063 ,-2.86
10030064 ,-2.86
10030065 ,-2.86
10040066 ,1.6
10040067 ,1.6
10040068 ,1.6
10040069 ,1.6
10040070 ,1.6
10040071 ,1.6
10040072 ,1.6
10040073 ,1.6
10040074 ,1.6
10040075 ,1.6
10040076 ,1.6
10040077 ,1.6
10040078 ,1.6
10040079 ,1.6
10050080 ,-0.52
10050081 ,-0.52
10050082 ,-0.52
10050083 ,-0.52
10050084 ,-0.52
10050085 ,-0.52
10050086 ,-0.52
10050087 ,-0.52
10050088 ,-0.52
10050089 ,-0.52
10050090 ,-0.52
10050091 ,-0.52
10050092 ,-0.52
10050093 ,-0.52
10050094 ,-0.52
10050095 ,-0.52
10050096 ,-0.52
10050097 ,-0.52
10050098 ,-0.52
10050099 ,-0.52
10050100 ,-0.52
10050101 ,-0.52
10050102 ,-0.52
10050103 ,-0.52
10050104 ,-0.52
10050105 ,-0.52
10050106 ,-0.52
10050107 ,-0.52
10050108 ,-0.52
10060109 ,1.23
10060110 ,1.23
10060111 ,1.23
10060112 ,1.23
10060113 ,1.23
10060114 ,1.23
10060115 ,1.23
10060116 ,1.23
10060117 ,1.23
10060118 ,1.23
10060119 ,1.23
10060120 ,1.23
10060121 ,1.23
10060122 ,1.23
10060123 ,1.23
10060124 ,1.23
10060125 ,1.23
10060126 ,1.23
10060127 ,1.23
10060128 ,1.23
10060129 ,1.23
10060130 ,1.23
10060131 ,1.23
10060132 ,1.23
10060133 ,1.23
10060134 ,1.23
10060135 ,1.23
10060136 ,1.23
10060137 ,1.23
10060138 ,1.23
10060139 ,1.23
10060140 ,1.23
10060141 ,1.23
10060142 ,1.23
10070143 ,-0.87
10070144 ,-0.87
10070145 ,-0.87
10070146 ,-0.87
10070147 ,-0.87
10070148 ,-0.87
10070149 ,-0.87
10070150 ,-0.87
10070151 ,-0.87
10070152 ,-0.87
10070153 ,-0.87
10070154 ,-0.87
10070155 ,-0.87
10070156 ,-0.87
10070157 ,-0.87
10070158 ,-0.87
10070159 ,-0.87
10070160 ,-0.87
10070161 ,-0.87
10070162 ,-0.87
10070163 ,-0.87
10070164 ,-0.87
10070165 ,-0.87
10070166 ,-0.87
10070167 ,-0.87
10070168 ,-0.87
10070169 ,-0.87
10070170 ,-0.87
10070171 ,-0.87
10070172 ,-0.87
10070173 ,-0.87
10070174 ,-0.87
10070175 ,-0.87
10080176 ,1.6
10080177 ,1.6
10080178 ,1.6
10080179 ,1.6
10080180 ,1.6
